"elapsed","AvgLatency","producer","RecordsPerSecond"
"5","1985","277","95459"
"10","3811","277","157139"
"15","3564","277","159541"
"20","3044","277","192208"
"25","2808","277","196342"
"30","2886","277","189370"
"5","1870","279","93402"
"10","3738","279","157357"
"15","3550","279","161365"
"20","3034","279","191209"
"25","2822","279","196139"
"30","2890","279","190008"
